scheme,dr,dc,score,ngram_mean,entropy,plaintext_head
"(2,9)",2,9,165.804,151.06,4.295,JWSCONCADERSUSWOMAGEAREERARLIEFUSA
"(7,7)",7,7,165.765,153.0,4.268,HREFBNSDEPEVERYHELAZERREPOPNGCCTED
"(5,6)",5,6,165.656,147.05,4.352,VSTNEANDMOBILLREFURINDEDTOASELFBYS
"(4,8)",4,8,165.6,149.99,4.308,FTRGOTBYPASSDEAPLANGARYBIGMOSOAREO
"(7,16)",7,16,165.549,150.58,4.299,HPCKMCISELOOTSEEPRINTERALDILITARED
"(1,6)",1,6,165.512,150.15,4.305,FPALMOSSROMFORWHYMOONTJERUSEXILENH
"(5,12)",5,12,165.486,152.5,4.271,LINECLOYHOTOASISELINECVWMSFELLYLIK
"(1,13)",1,13,165.374,148.22,4.331,RPWDVOLDFORPRINSTALWEARYJORGZEOEPI
"(8,11)",8,11,165.36,145.94,4.364,PEZWHOVENNOODMOTHESTOMCHIEVESTOATA
"(4,15)",4,15,165.292,148.52,4.325,UFZGXISROTSPEELSEENWIDGEHEMBERIDDE
"(8,8)",8,8,165.288,151.24,4.286,UEREPERSTOFINREOFTCOMEMEDIBESASORT
"(5,13)",5,13,165.266,148.71,4.322,KHNPSZONEYSPHDROPWITWORDCESBUTTRAN
"(7,5)",7,5,165.158,151.37,4.283,UXYINCESJUSTPICCANBLOGOUSXDGOGRARE
"(7,10)",7,10,165.152,147.82,4.334,PRKALISTOHOBECUTEDRIVILIAAAMAILERM
"(2,6)",2,6,165.129,151.52,4.28,RDEALWIWHYDREASTROLKSPREAPORRMFICR
"(5,11)",5,11,164.959,151.2,4.282,UILDERSPERVETOREONFNOYOUBEGOBVINTA
"(4,1)",4,1,164.947,150.54,4.292,GVNTBEGGETSOEECHITONEYEOFGORAKEAGR
"(2,7)",2,7,164.837,147.23,4.338,GDIHOPDBUTMINDUSEEDKKOMBANKHAZJISP
"(8,3)",8,3,164.788,150.03,4.297,HSUANGEDFIXWSPINARNGCBTWIGOTTOFLUD
"(8,10)",8,10,164.787,147.45,4.334,IAKUMACJOBVERYORUSHEEXTRALEDDEENVI
"(2,5)",2,5,164.56,151.71,4.27,HEICECERLYKAEXEMINUNTALMOOFIRWARGE
"(2,12)",2,12,164.541,151.32,4.275,UANELGSTISNOSEISSTAYOURTCOOLONWHIS
"(5,3)",5,3,164.516,150.11,4.292,VARMFFEKYTOUSSSRYFORCEVSABANDSUSTB
"(1,8)",1,8,164.417,150.14,4.291,FIVEUPINJAMIPAKBRANDMANSITYTODANDI
"(8,7)",8,7,164.389,147.35,4.331,XFZJUNEXTPRCIAHEACEOFANINEHFANQUES
"(1,7)",1,7,164.305,153.58,4.241,HJAKWILESESRBXYCAPICUTGOEXPERHIMKA
"(4,4)",4,4,164.232,151.54,4.268,URRIDORFOLHELPIONSSSARYUPVLONGSHAF
"(4,7)",4,7,164.12,151.66,4.265,PWHYBOUTPMONIAAGBRNOTEFFMANSIGMETH
"(2,1)",2,1,164.115,147.08,4.331,XDOOZENSEYFIGTOOFFEREFEOCCURRENALS
"(4,14)",4,14,164.054,145.91,4.347,XFLYBYPSBYMNGMILANESTSTWEDINGFORIG
"(8,9)",8,9,163.885,152.7,4.248,CTOMYROARHEXJUMBOKISKEIEERNNOWAGER
"(7,9)",7,9,163.882,149.02,4.3,WWUSEILEANYGUNTSSRANDSPEATCFZOLOLD
"(7,11)",7,11,163.815,148.35,4.308,GKASKCAPSSOHOWBEALCARERISONDSSUEWH
"(5,14)",5,14,163.073,147.47,4.311,YLHEALLYINISHHYPAYCCEDGEARESPONADD
"(4,3)",4,3,162.824,147.73,4.304,KANYOKISONISTOFFSTTOWATESUREDIMAGO
"(7,12)",7,12,162.578,148.59,4.289,GTLOSINJUNEARTBOFTCOPPLIEGKFAMACTU
